epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,3416.74,0.70151,1.03451,1.1538,0.58333,0.53846,0.51496,0.40459,1.01199,1.66458,1.49965,0.0001288,0.0001288,0.0001288
90,3452.67,0.7043,0.99839,1.17941,0.55556,0.57692,0.52266,0.39102,1.01099,1.67597,1.48662,0.0001189,0.0001189,0.0001189
91,3488.41,0.54114,1.62002,1.05916,0.5471,0.57692,0.52117,0.40097,0.91472,1.77844,1.4237,0.000109,0.000109,0.000109
92,3523.83,0.48954,1.85619,0.98758,0.53846,0.53846,0.51323,0.39816,0.92703,1.86735,1.42691,9.91e-05,9.91e-05,9.91e-05
93,3559.66,0.53343,0.82781,1.10608,0.54167,0.5,0.50681,0.38084,0.95026,1.88046,1.43612,8.92e-05,8.92e-05,8.92e-05
94,3599.09,0.50056,1.48146,0.99674,0.54167,0.5,0.50315,0.37327,0.97293,1.91363,1.45091,7.93e-05,7.93e-05,7.93e-05
95,3637.5,0.51484,0.98774,1.09612,0.57143,0.46154,0.49561,0.3663,0.96649,1.92619,1.45574,6.94e-05,6.94e-05,6.94e-05
96,3675.23,0.50105,1.07221,1.03657,0.54167,0.5,0.50235,0.3805,0.94089,1.8689,1.44841,5.95e-05,5.95e-05,5.95e-05
97,3714.66,0.50914,0.87156,1.06571,0.59064,0.42308,0.45972,0.36517,0.92548,1.84347,1.44249,4.96e-05,4.96e-05,4.96e-05
98,3753.12,0.49957,0.82346,1.11227,0.53846,0.53846,0.50994,0.39088,0.90494,1.79964,1.42871,3.97e-05,3.97e-05,3.97e-05
99,3790.75,0.53014,0.87753,1.07748,0.51852,0.53846,0.50363,0.3894,0.86571,1.76612,1.40221,2.98e-05,2.98e-05,2.98e-05
100,3829.66,0.52344,0.82329,1.05428,0.51852,0.53846,0.49545,0.38018,0.86144,1.7618,1.39757,1.99e-05,1.99e-05,1.99e-05
